category,item,variety,date,price,unit,year,month,day
vegetable,cabbage,savoy,2022-01-07,0.49,head,2022,1,7
vegetable,spring_greens,prepacked,2022-01-07,0.94,kg,2022,1,7
vegetable,cabbage,white,2022-01-07,0.46,kg,2022,1,7
vegetable,cabbage,round_green_other,2022-01-07,0.48,head,2022,1,7
vegetable,carrots,topped_washed,2022-01-07,0.47,kg,2022,1,7
vegetable,cauliflower,all,2022-01-07,0.68,head,2022,1,7
vegetable,celeriac,celeriac,2022-01-07,0.67,kg,2022,1,7
vegetable,chinese_leaf,chinese_leaf,2022-01-07,0.96,kg,2022,1,7
vegetable,leeks,trimmed,2022-01-07,1.15,kg,2022,1,7
vegetable,lettuce,butterhead_indoor,2022-01-07,0.44,head,2022,1,7
vegetable,lettuce,little_gem,2022-01-07,0.8,twin,2022,1,7
vegetable,onion,bulb_brown,2022-01-07,0.46,kg,2022,1,7
vegetable,onion,bulb_red,2022-01-07,0.62,kg,2022,1,7
vegetable,swede,swede,2022-01-07,0.24,kg,2022,1,7
vegetable,turnip,turnip,2022-01-07,1.87,kg,2022,1,7
vegetable,parsnips,all_varieties,2022-01-07,1.05,kg,2022,1,7
vegetable,rhubarb,forced,2022-01-07,4.94,kg,2022,1,7
fruit,apples,bramleys_seedling,2021-12-17,1.69,kg,2021,12,17
fruit,apples,coxs_orange_group,2021-12-17,0.97,kg,2021,12,17
fruit,apples,egremont_russet,2021-12-17,1.06,kg,2021,12,17
fruit,apples,braeburn,2021-12-17,0.84,kg,2021,12,17
fruit,apples,gala,2021-12-17,0.94,kg,2021,12,17
fruit,apples,other_mid_season,2021-12-17,1.04,kg,2021,12,17
fruit,apples,other_late_season,2021-12-17,1.01,kg,2021,12,17
fruit,pears,conference,2021-12-17,0.77,kg,2021,12,17
fruit,pears,doyenne_du_comice,2021-12-17,0.84,kg,2021,12,17
vegetable,beetroot,beetroot,2021-12-17,0.54,kg,2021,12,17
vegetable,brussels_sprouts,brussels_sprouts,2021-12-17,0.87,kg,2021,12,17
vegetable,pak_choi,pak_choi,2021-12-17,2.94,kg,2021,12,17
vegetable,curly_kale,curly_kale,2021-12-17,3.61,kg,2021,12,17
vegetable,cabbage,red,2021-12-17,0.57,kg,2021,12,17
vegetable,cabbage,savoy,2021-12-17,0.56,head,2021,12,17
vegetable,spring_greens,prepacked,2021-12-17,0.96,kg,2021,12,17
vegetable,cabbage,summer_autumn_pointed,2021-12-17,0.62,kg,2021,12,17
vegetable,cabbage,white,2021-12-17,0.48,kg,2021,12,17
vegetable,cabbage,round_green_other,2021-12-17,0.51,head,2021,12,17
vegetable,carrots,topped_washed,2021-12-17,0.45,kg,2021,12,17
vegetable,cauliflower,all,2021-12-17,1.15,head,2021,12,17
vegetable,celery,all_washed,2021-12-17,0.78,kg,2021,12,17
vegetable,celeriac,celeriac,2021-12-17,0.73,kg,2021,12,17
vegetable,chinese_leaf,chinese_leaf,2021-12-17,0.97,kg,2021,12,17
vegetable,leeks,trimmed,2021-12-17,1.15,kg,2021,12,17
vegetable,lettuce,butterhead_indoor,2021-12-17,0.44,head,2021,12,17
vegetable,lettuce,little_gem,2021-12-17,0.77,twin,2021,12,17
vegetable,onion,bulb_brown,2021-12-17,0.4,kg,2021,12,17
vegetable,onion,bulb_red,2021-12-17,0.56,kg,2021,12,17
vegetable,swede,swede,2021-12-17,0.22,kg,2021,12,17
vegetable,turnip,turnip,2021-12-17,1.28,kg,2021,12,17
